dataset,policy_name,num_episodes,avg_delay_mean,avg_delay_ci95,episode_drift_mean,episode_drift_ci95,combined_score_mean,combined_score_ci95,on_time_rate_mean,total_shifts_mean,total_switches_mean,avg_solve_time_ms_mean
train,fixed_default,60,0.0,0.0,0.00117,0.00051,0.006,0.003,1.0,2.2,0.8,14.5
train,fixed_tuned,60,0.0,0.0,0.00055,0.00025,0.003,0.001,1.0,2.95,0.32,14.6
train,greedy,60,0.0,0.0,0.00074,0.00023,0.004,0.001,1.0,0.8,1.07,0.0
train,mockllm,60,0.0,0.0,0.00118,0.00052,0.006,0.003,1.0,2.15,0.8,14.4
train,nofreeze,60,0.0,0.0,0.00115,0.0005,0.006,0.002,1.0,2.25,0.75,14.5
