freeze_horizon_slots,w_delay,w_shift,w_switch,avg_delay,avg_drift,combined_score,num_episodes,avg_solve_time_ms
0,10.0,0.0,0,0.0,0.05339392451239806,0.2669696225619903,9,14.877641015977433
0,10.0,0.0,180,0.23076923076923078,0.0016483133572854343,0.23901079755565796,9,14.690586075969428
0,10.0,1.0,0,0.0,0.045024161095072256,0.22512080547536129,9,14.71316477562348
0,10.0,1.0,180,0.05263157894736842,0.0009424373907058393,0.05734376590089761,9,14.642366997163755
36,10.0,0.0,0,0.0,0.04984107667786447,0.24920538338932235,9,14.733011653799837
36,10.0,0.0,180,0.45299145299145294,0.001791098800990023,0.46194694699640304,9,14.673520194900862
36,10.0,1.0,0,0.0,0.04299108216208399,0.21495541081041997,9,14.68902577305291
36,10.0,1.0,180,0.05263157894736842,0.0013801687182249459,0.05953242253849315,9,14.820954639264825
