freeze_horizon_slots,w_delay,w_shift,w_switch,avg_delay,avg_drift,combined_score,num_episodes,avg_solve_time_ms
0,5.0,0.0,0,0.0,0.03740379029691683,0.18701895148458414,60,15.0304535499084
0,5.0,0.0,60,0.06092016657806132,0.0012658411818127244,0.06724937248712494,60,15.052283950481309
0,5.0,0.0,180,0.22868034757353645,0.0014448670656210811,0.23590468290164185,60,14.901077404110312
0,5.0,0.0,600,0.22868034757353645,0.0012740035435050618,0.23505036529106177,60,14.940591719831916
0,5.0,0.2,0,0.0,0.03523566743564862,0.1761783371782431,60,15.144667049118729
0,5.0,0.2,60,0.017149122807017542,0.0005632420329810525,0.019965332971922805,60,15.062944877284965
0,5.0,0.2,180,0.1820039343181758,0.0005271859554790099,0.18463986409557084,60,15.040589535890597
0,5.0,0.2,600,0.23682849572168457,0.0005511129831414468,0.2395840606373918,60,15.081017483655586
0,5.0,1.0,0,0.0,0.0359319308995667,0.1796596544978335,60,15.137855686572932
0,5.0,1.0,60,0.004166666666666667,0.0005344692966997934,0.006839013150165633,60,15.070719116527915
0,5.0,1.0,180,0.17516182905501793,0.0005218894535326772,0.1777712763226813,60,15.118641072072432
0,5.0,1.0,600,0.23349516238835125,0.000547807250510257,0.23623419864090253,60,15.03403783940956
0,5.0,2.0,0,0.0,0.03543603615390991,0.17718018076954956,60,15.205149431827051
0,5.0,2.0,60,0.0,0.0005753333538605287,0.0028766667693026432,60,15.04783609761507
0,5.0,2.0,180,0.10016480595427964,0.0005269796807593372,0.10279970435807632,60,15.146847356236853
0,5.0,2.0,600,0.2768775153295277,0.0005268067155103391,0.2795115489070794,60,15.092203155671482
0,10.0,0.0,0,0.0,0.038427021897238074,0.19213510948619036,60,15.013732351025636
0,10.0,0.0,60,0.011574074074074073,0.0012500755066456547,0.017824451607302345,60,14.973913848062926
0,10.0,0.0,180,0.10707401273190748,0.0012897514097836389,0.11352276978082566,60,14.922917190032317
0,10.0,0.0,600,0.17034701424020313,0.0012826178025881407,0.17676010325314384,60,14.862204324847756
0,10.0,0.2,0,0.0,0.03666281507109889,0.18331407535549446,60,15.05151255655275
0,10.0,0.2,60,0.004166666666666667,0.0005633031433792855,0.006983182383563094,60,15.049823993762656
0,10.0,0.2,180,0.11522216088005563,0.0005507609993202718,0.11797596587665699,60,15.053954991509459
0,10.0,0.2,600,0.23682849572168457,0.0005492450353099574,0.23957472089823437,60,15.02900417976574
0,10.0,1.0,0,0.0,0.035642877142650825,0.17821438571325413,60,15.0574642050376
0,10.0,1.0,60,0.004166666666666667,0.0005352313757451804,0.006842823545392568,60,14.945423738025562
0,10.0,1.0,180,0.06573498139287613,0.0005474457839258748,0.0684722103125055,60,15.06033276148566
0,10.0,1.0,600,0.23349516238835125,0.0005348434107235004,0.23616937944196875,60,15.102146561163794
0,10.0,2.0,0,0.0,0.03515222347696626,0.1757611173848313,60,15.150726524923362
0,10.0,2.0,60,0.0,0.000562170703438808,0.00281085351719404,60,15.10138823843172
0,10.0,2.0,180,0.01381578947368421,0.0005466918964993295,0.01654924895618086,60,15.02671547589362
