seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
6,light,nofreeze,train,19,19,1.0,0.0,0,0.0015396310039167182,1,1,49,1,15.224489795918368,0.7609851360321045,0,0,0,0,0,0,0.0,0,746,761
8,light,greedy,train,12,13,1.0,0.0,0,0.0014467592592592592,0,3,72,1,0.0,0.006021976470947266,0,0,0,0,0,0,0.0,0,0,7
7,light,nofreeze,train,15,15,1.0,0.0,0,0.0,0,0,49,0,15.16326530612245,0.7619874477386475,0,0,0,0,0,0,0.0,0,743,761
7,light,fixed_default,train,15,15,1.0,0.0,0,0.0,0,0,49,0,15.387755102040817,0.768007755279541,0,0,0,0,0,0,0.0,0,754,768
7,light,mockllm,train,15,15,1.0,0.0,0,0.0,0,0,49,0,14.938775510204081,0.7700157165527344,49,0,0,0,0,0,0.0,0,732,771
9,light,greedy,train,16,17,1.0,0.0,0,0.0,0,0,72,0,0.0,0.007024049758911133,0,0,0,0,0,0,0.0,0,0,7
8,light,fixed_tuned,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,15.0,0.7098278999328613,0,0,0,0,0,0,0.0,0,690,709
8,light,fixed_default,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,15.043478260869565,0.7098269462585449,0,0,0,0,0,0,0.0,0,692,709
8,light,nofreeze,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.978260869565217,0.7068169116973877,0,0,0,0,0,0,0.0,0,689,707
8,light,mockllm,train,13,13,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.434782608695652,0.7102079391479492,46,0,0,0,0,0,0.0,0,664,710
10,light,greedy,train,18,19,1.0,0.0,0,0.0003628027065527065,1,1,72,1,0.0,0.007781505584716797,0,0,0,0,0,0,0.0,0,0,7
9,light,fixed_default,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.617021276595745,0.7084558010101318,0,0,0,0,0,0,0.0,0,687,708
9,light,fixed_tuned,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.829787234042554,0.7184910774230957,0,0,0,0,0,0,0.0,0,697,718
9,light,nofreeze,train,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.595744680851064,0.7084558010101318,0,0,0,0,0,0,0.0,0,686,708
9,light,mockllm,train,17,17,1.0,0.0,0,0.0010638297872340426,0,1,47,1,14.48936170212766,0.7302031517028809,47,0,0,0,0,0,0.0,0,681,731
11,light,greedy,train,15,17,1.0,0.0,0,0.0004697145061728395,1,1,72,0,0.0,0.007642507553100586,0,0,0,0,0,0,0.0,0,0,7
10,light,fixed_tuned,train,19,19,1.0,0.0,0,0.0001432078559738134,6,0,47,1,15.106382978723405,0.7245690822601318,0,0,0,0,0,0,0.0,0,710,725
11,light,fixed_default,train,17,17,1.0,0.0,0,0.0,0,0,45,0,14.422222222222222,0.6617169380187988,0,0,0,0,0,0,0.0,0,649,662
10,light,fixed_default,train,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,15.106382978723405,0.7251217365264893,0,0,0,0,0,0,0.0,0,710,726
10,light,nofreeze,train,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,15.042553191489361,0.724116325378418,0,0,0,0,0,0,0.0,0,707,725
11,light,nofreeze,train,17,17,1.0,0.0,0,0.0,0,0,45,0,15.133333333333333,0.6933770179748535,0,0,0,0,0,0,0.0,0,681,693
11,light,fixed_tuned,train,17,17,1.0,0.0,0,0.0,0,0,45,0,15.022222222222222,0.6933770179748535,0,0,0,0,0,0,0.0,0,676,694
12,light,greedy,train,16,17,1.0,0.0,0,0.0007575757575757576,0,2,72,2,0.0,0.008028268814086914,0,0,0,0,0,0,0.0,0,0,9
10,light,mockllm,train,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,15.127659574468085,0.7442257404327393,47,0,0,0,0,0,0.0,0,711,744
11,light,mockllm,train,17,17,1.0,0.0,0,0.0,0,0,45,0,14.622222222222222,0.6984820365905762,45,0,0,0,0,0,0.0,0,658,698
13,light,greedy,train,13,14,1.0,0.0,0,0.0,0,0,72,0,0.0,0.0060214996337890625,0,0,0,0,0,0,0.0,0,0,7
13,light,fixed_tuned,train,14,14,1.0,0.0,0,0.0,0,0,46,0,14.521739130434783,0.6885266304016113,0,0,0,0,0,0,0.0,0,668,688
12,light,fixed_default,train,17,17,1.0,0.0,0,0.0025651041666666665,3,2,48,3,14.833333333333334,0.7362432479858398,0,0,0,0,0,0,0.0,0,712,736
12,light,fixed_tuned,train,17,17,1.0,0.0,0,0.0009030189043209877,6,0,48,2,14.8125,0.7362432479858398,0,0,0,0,0,0,0.0,0,711,736
13,light,fixed_default,train,14,14,1.0,0.0,0,0.0,0,0,46,0,14.73913043478261,0.6955513954162598,0,0,0,0,0,0,0.0,0,678,696
14,light,greedy,train,10,11,1.0,0.0,0,0.0005952380952380953,0,1,72,0,0.0,0.005016326904296875,0,0,0,0,0,0,0.0,0,0,5
12,light,nofreeze,train,17,17,1.0,0.0,0,0.0025651041666666665,3,2,48,3,14.895833333333334,0.7356884479522705,0,0,0,0,0,0,0.0,0,715,735
12,light,mockllm,train,17,17,1.0,0.0,0,0.0025651041666666665,3,2,48,3,14.0,0.719635009765625,48,0,0,0,0,0,0.0,0,672,720
13,light,nofreeze,train,14,14,1.0,0.0,0,0.0,0,0,46,0,14.847826086956522,0.7018985748291016,0,0,0,0,0,0,0.0,0,683,701
13,light,mockllm,train,14,14,1.0,0.0,0,0.0,0,0,46,0,14.565217391304348,0.7112295627593994,46,0,0,0,0,0,0.0,0,670,712
15,light,greedy,train,13,13,1.0,0.0,0,0.001574074074074074,0,2,45,3,0.0,0.005017757415771484,0,0,0,0,0,0,0.0,0,0,5
14,light,nofreeze,train,11,11,1.0,0.0,0,0.0,0,0,45,0,14.311111111111112,0.6639425754547119,0,0,0,0,0,0,0.0,0,644,663
14,light,fixed_default,train,11,11,1.0,0.0,0,0.0,0,0,45,0,14.733333333333333,0.6789946556091309,0,0,0,0,0,0,0.0,0,663,679
14,light,fixed_tuned,train,11,11,1.0,0.0,0,0.0,0,0,45,0,15.0,0.6950507164001465,0,0,0,0,0,0,0.0,0,675,696
14,light,mockllm,train,11,11,1.0,0.0,0,0.0,0,0,45,0,14.022222222222222,0.6739795207977295,45,0,0,0,0,0,0.0,0,631,674
16,light,greedy,train,14,15,1.0,0.0,0,1.6878858024691356e-05,1,0,72,1,0.0,0.005017518997192383,0,0,0,0,0,0,0.0,0,0,5
15,light,fixed_tuned,train,13,13,1.0,0.0,0,1.2002743484224965e-05,1,0,45,1,15.11111111111111,0.6955740451812744,0,0,0,0,0,0,0.0,0,680,695
15,light,fixed_default,train,13,13,1.0,0.0,0,1.2002743484224965e-05,1,0,45,1,15.066666666666666,0.6925642490386963,0,0,0,0,0,0,0.0,0,678,693
15,light,nofreeze,train,13,13,1.0,0.0,0,1.2002743484224965e-05,1,0,45,1,15.133333333333333,0.6965770721435547,0,0,0,0,0,0,0.0,0,681,697
15,light,mockllm,train,13,13,1.0,0.0,0,1.2002743484224965e-05,1,0,45,1,14.266666666666667,0.6714916229248047,45,0,0,0,0,0,0.0,0,642,671
