seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
7,heavy,fixed_default,train,15,15,1.0,0.0,0,0.0011582663368377654,4,2,49,2,15.306122448979592,0.7589406967163086,0,0,0,0,0,0,0.0,0,750,758
7,heavy,nofreeze,train,15,15,1.0,0.0,0,0.0011312100597814883,1,2,49,1,15.387755102040817,0.7635033130645752,0,0,0,0,0,0,0.0,0,754,763
7,heavy,greedy,train,13,15,1.0,0.0,0,0.0005208333333333333,0,1,72,1,0.0,0.005017757415771484,0,0,0,0,0,0,0.0,0,0,5
7,heavy,mockllm,train,15,15,1.0,0.0,0,0.001722958754208754,1,3,48,2,14.666666666666666,0.7392258644104004,48,0,0,0,0,0,0.0,0,704,739
8,heavy,fixed_tuned,train,13,13,1.0,0.0,0,0.003346668679549114,10,2,46,3,15.26086956521739,0.7111232280731201,0,0,0,0,0,0,0.0,0,702,711
8,heavy,fixed_default,train,13,13,1.0,0.0,0,0.007204825166781688,5,4,46,2,15.347826086956522,0.7171216011047363,0,0,0,0,0,0,0.0,0,706,717
8,heavy,nofreeze,train,13,13,1.0,0.0,0,0.004985622268230964,4,4,46,2,15.173913043478262,0.7071590423583984,0,0,0,0,0,0,0.0,0,698,707
8,heavy,greedy,train,12,13,1.0,0.0,0,0.0017862654320987656,1,3,72,5,0.0,0.006020069122314453,0,0,0,0,0,0,0.0,0,0,6
8,heavy,mockllm,train,13,13,1.0,0.0,0,0.004985622268230964,4,4,46,2,14.41304347826087,0.6946966648101807,46,0,0,0,0,0,0.0,0,663,694
9,light,fixed_tuned,test,17,17,1.0,0.0,0,0.00031401858418702384,5,0,47,1,15.382978723404255,0.733440637588501,0,0,0,0,0,0,0.0,0,723,733
9,light,fixed_default,test,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,14.787234042553191,0.7045109272003174,0,0,0,0,0,0,0.0,0,695,705
9,light,nofreeze,test,17,17,1.0,0.0,0,6.89519306540583e-05,1,0,47,1,15.191489361702128,0.7263975143432617,0,0,0,0,0,0,0.0,0,714,727
9,light,greedy,test,16,17,1.0,0.0,0,0.0,0,0,72,0,0.0,0.003009319305419922,0,0,0,0,0,0,0.0,0,0,3
9,light,mockllm,test,17,17,1.0,0.0,0,0.0010638297872340426,0,1,47,1,14.76595744680851,0.7275428771972656,47,0,0,0,0,0,0.0,0,694,729
10,light,fixed_tuned,test,19,19,1.0,0.0,0,0.0010465286617768884,20,0,47,1,15.127659574468085,0.7236883640289307,0,0,0,0,0,0,0.0,0,711,723
10,light,fixed_default,test,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,15.23404255319149,0.7305624485015869,0,0,0,0,0,0,0.0,0,716,731
10,light,nofreeze,test,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,15.127659574468085,0.7194774150848389,0,0,0,0,0,0,0.0,0,711,719
10,light,greedy,test,18,19,1.0,0.0,0,0.0003628027065527065,1,1,72,1,0.0,0.0040128231048583984,0,0,0,0,0,0,0.0,0,0,5
10,light,mockllm,test,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,14.829787234042554,0.7289326190948486,47,0,0,0,0,0,0.0,0,697,729
11,light,fixed_tuned,test,17,17,1.0,0.0,0,0.00036548353909465016,6,0,45,0,14.955555555555556,0.6811554431915283,0,0,0,0,0,0,0.0,0,673,681
11,light,fixed_default,test,17,17,1.0,0.0,0,0.0,0,0,45,0,15.022222222222222,0.6857640743255615,0,0,0,0,0,0,0.0,0,676,685
11,light,nofreeze,test,17,17,1.0,0.0,0,0.0,0,0,45,0,15.222222222222221,0.6963076591491699,0,0,0,0,0,0,0.0,0,685,696
11,light,greedy,test,15,17,1.0,0.0,0,0.0004697145061728395,1,1,72,0,0.0,0.004012584686279297,0,0,0,0,0,0,0.0,0,0,4
11,light,mockllm,test,17,17,1.0,0.0,0,0.0,0,0,45,0,14.88888888888889,0.6954848766326904,45,0,0,0,0,0,0.0,0,670,695
12,medium,fixed_tuned,test,17,17,1.0,0.0,0,0.0027805397727272726,17,1,48,2,15.0625,0.7378561496734619,0,0,0,0,0,0,0.0,0,723,738
12,medium,fixed_default,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,15.479166666666666,0.7486135959625244,0,0,0,0,0,0,0.0,0,743,748
12,medium,nofreeze,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,15.3125,0.7460062503814697,0,0,0,0,0,0,0.0,0,735,746
12,medium,greedy,test,16,17,1.0,0.0,0,0.0007575757575757576,0,2,72,4,0.0,0.0050334930419921875,0,0,0,0,0,0,0.0,0,0,6
12,medium,mockllm,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,14.25,0.7184171676635742,48,0,0,0,0,0,0.0,0,684,718
13,medium,fixed_tuned,test,14,14,1.0,0.0,0,0.0005579458534621577,8,0,46,1,14.91304347826087,0.6934893131256104,0,0,0,0,0,0,0.0,0,686,693
13,medium,fixed_default,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,15.304347826086957,0.714930534362793,0,0,0,0,0,0,0.0,0,704,715
13,medium,nofreeze,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.782608695652174,0.6911294460296631,0,0,0,0,0,0,0.0,0,680,691
13,medium,greedy,test,13,14,1.0,0.0,0,0.0009634344993141289,1,2,72,2,0.0,0.004013538360595703,0,0,0,0,0,0,0.0,0,0,5
13,medium,mockllm,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.652173913043478,0.7037107944488525,46,0,0,0,0,0,0.0,0,674,704
14,medium,fixed_tuned,test,11,11,1.0,0.0,0,0.0006877572016460904,5,0,45,3,14.622222222222222,0.6645634174346924,0,0,0,0,0,0,0.0,0,658,664
14,medium,fixed_default,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,15.333333333333334,0.6982729434967041,0,0,0,0,0,0,0.0,0,690,699
14,medium,nofreeze,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,15.488888888888889,0.7021887302398682,0,0,0,0,0,0,0.0,0,697,702
14,medium,greedy,test,10,11,1.0,0.0,0,1.3503086419753084e-05,1,0,72,2,0.0,0.002977132797241211,0,0,0,0,0,0,0.0,0,0,2
14,medium,mockllm,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.622222222222222,0.686467170715332,45,0,0,0,0,0,0.0,0,658,690
