seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s
10,light,fixed_default,test,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,14.893617021276595,0.7245280742645264
10,light,nofreeze,test,19,19,1.0,0.0,0,0.0005148663393344245,1,1,47,1,14.914893617021276,0.7238917350769043
10,light,greedy,test,18,19,1.0,0.0,0,0.0003628027065527065,1,1,72,1,0.0,0.005017280578613281
10,light,mockllm,test,19,19,1.0,0.0,0,4.7735951991271136e-05,2,0,47,1,14.74468085106383,0.7205610275268555
11,light,fixed_tuned,test,17,17,1.0,0.0,0,0.0,0,0,45,0,14.8,0.6841237545013428
11,light,fixed_default,test,17,17,1.0,0.0,0,0.0,0,0,45,0,14.622222222222222,0.6759865283966064
11,light,nofreeze,test,17,17,1.0,0.0,0,0.0,0,0,45,0,15.044444444444444,0.692399263381958
11,light,greedy,test,15,17,1.0,0.0,0,0.0004697145061728395,1,1,72,0,0.0,0.0040132999420166016
11,light,mockllm,test,17,17,1.0,0.0,0,0.0,0,0,45,0,14.777777777777779,0.6865501403808594
12,medium,fixed_tuned,test,17,17,1.0,0.0,0,0.0008101851851851852,8,0,48,2,15.020833333333334,0.7391929626464844
12,medium,fixed_default,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,14.791666666666666,0.7297060489654541
12,medium,nofreeze,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,14.1875,0.7020175457000732
12,medium,greedy,test,16,17,1.0,0.0,0,0.0007575757575757576,0,2,72,4,0.0,0.005016803741455078
12,medium,mockllm,test,17,17,1.0,0.0,0,0.003309220679012346,3,3,48,3,14.854166666666666,0.7336406707763672
13,medium,fixed_tuned,test,14,14,1.0,0.0,0,0.00010567632850241546,1,0,46,1,15.065217391304348,0.7084164619445801
13,medium,fixed_default,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.717391304347826,0.6946613788604736
13,medium,nofreeze,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.26086956521739,0.6733691692352295
13,medium,greedy,test,13,14,1.0,0.0,0,0.0009634344993141289,1,2,72,2,0.0,0.0040130615234375
13,medium,mockllm,test,14,14,1.0,0.0,0,0.0007246376811594203,0,1,46,1,14.826086956521738,0.704967737197876
14,medium,fixed_tuned,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.6,0.6725950241088867
14,medium,fixed_default,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.422222222222222,0.6636245250701904
14,medium,nofreeze,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.822222222222223,0.686819314956665
14,medium,greedy,test,10,11,1.0,0.0,0,1.3503086419753084e-05,1,0,72,2,0.0,0.004013776779174805
14,medium,mockllm,test,11,11,1.0,0.0,0,0.00014763374485596704,4,0,45,3,14.511111111111111,0.668546199798584
15,heavy,fixed_tuned,test,13,13,0.9230769230769231,0.8461538461538461,11,0.0011216563786008232,9,0,45,4,15.133333333333333,0.6933548450469971
15,heavy,fixed_default,test,13,13,1.0,0.0,0,0.003621399176954732,4,3,45,4,14.688888888888888,0.6774413585662842
15,heavy,nofreeze,test,13,13,1.0,0.0,0,0.003621399176954732,4,3,45,4,15.0,0.6917886734008789
15,heavy,greedy,test,13,13,1.0,0.0,0,0.004845336076817559,1,3,45,5,0.0,0.004014015197753906
15,heavy,mockllm,test,13,13,1.0,0.0,0,0.006738683127572016,3,4,45,4,14.933333333333334,0.6886856555938721
16,heavy,fixed_tuned,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.958333333333334,0.736487627029419
16,heavy,fixed_default,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.5625,0.7196996212005615
16,heavy,nofreeze,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.770833333333334,0.7331955432891846
16,heavy,greedy,test,14,15,1.0,0.0,0,0.0,0,0,72,3,0.0,0.004014015197753906
16,heavy,mockllm,test,15,15,1.0,0.0,0,5.626286008230452e-05,3,0,48,3,14.729166666666666,0.7340116500854492
17,heavy,fixed_tuned,test,18,18,1.0,0.0,0,0.0010770897738982845,7,1,47,3,14.808510638297872,0.7214937210083008
17,heavy,fixed_default,test,18,18,1.0,0.0,0,0.0032264199551433593,6,4,47,3,14.893617021276595,0.7217350006103516
17,heavy,nofreeze,test,18,18,1.0,0.0,0,0.0032264199551433593,6,4,47,3,14.787234042553191,0.7220945358276367
17,heavy,greedy,test,17,18,1.0,0.0,0,0.00015378515089163237,3,0,72,3,0.0,0.005013704299926758
17,heavy,mockllm,test,18,18,1.0,0.0,0,0.0032264199551433593,6,4,47,3,14.595744680851064,0.7139525413513184
