seed,disturbance_level,policy_name,dataset,completed,total,on_time_rate,avg_delay,max_delay,episode_drift,total_shifts,total_switches,num_replans,num_forced_replans,avg_solve_time_ms,total_runtime_s,llm_calls,llm_time_total_ms,llm_latency_total_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_cache_hit_rate,llm_fallback_count,solver_time_total_ms,wall_time_total_ms
96,medium,llm_real,test,15,15,1.0,0.0,0,1.1491988442343051e-05,1,0,47,1,12.361702127659575,0.754572868347168,47,115,115,0,0,24134,1.0,0,581,789
97,medium,llm_real,test,13,13,1.0,0.0,0,0.001750931571815718,3,1,41,2,11.731707317073171,0.6292314529418945,41,88,88,0,0,21071,1.0,0,481,664
98,medium,llm_real,test,15,15,1.0,0.0,0,0.0,0,0,45,0,11.422222222222222,5.504161834716797,45,4929,4929,0,0,23105,0.9555555555555556,0,514,5539
99,medium,llm_real,test,16,16,1.0,0.0,0,0.004164611228564716,1,4,43,3,11.674418604651162,0.6773216724395752,43,128,128,0,0,22081,1.0,0,502,713
100,heavy,llm_real,test,12,12,1.0,0.0,0,0.001044766865079365,1,1,48,1,12.166666666666666,0.7841768264770508,48,140,140,0,0,24655,1.0,0,584,820
101,heavy,llm_real,test,19,19,1.0,0.0,0,0.0013334518121752162,6,2,47,5,11.574468085106384,3.1192028522491455,47,2518,2518,0,0,24155,0.9787234042553191,0,544,3154
102,heavy,llm_real,test,12,12,1.0,0.0,0,0.004404670047031158,5,3,45,5,11.977777777777778,0.7175662517547607,45,126,126,0,0,23114,1.0,0,539,752
103,heavy,llm_real,test,17,17,1.0,0.0,0,0.001513447971781305,2,2,45,2,11.266666666666667,0.7100450992584229,45,153,153,0,0,23120,1.0,0,507,745
104,heavy,llm_real,test,10,10,1.0,0.0,0,0.0023000394011032307,1,1,47,1,12.53191489361702,0.7439866065979004,47,96,96,0,0,24101,1.0,0,589,778
105,heavy,llm_real,test,19,19,1.0,0.0,0,0.0029060581779331777,5,4,50,6,11.76,0.8124668598175049,50,167,167,0,0,25699,1.0,0,588,847
106,heavy,llm_real,test,17,17,1.0,0.0,0,0.00032505910165484626,2,0,47,2,11.787234042553191,3.498668909072876,47,2890,2890,0,0,24153,0.9787234042553191,0,554,3533
107,heavy,llm_real,test,13,13,1.0,0.0,0,0.00247791477702192,1,3,42,3,11.30952380952381,0.6467678546905518,42,124,124,0,0,21582,1.0,0,475,681
108,heavy,llm_real,test,12,12,1.0,0.0,0,5.283816425120772e-05,1,0,46,1,11.608695652173912,0.7080934047698975,46,123,123,0,0,23617,1.0,0,534,743
109,heavy,llm_real,test,14,14,1.0,0.0,0,0.0013625184132996632,2,2,40,2,11.65,0.6404666900634766,40,126,126,0,0,20548,1.0,0,466,674
110,heavy,llm_real,test,16,16,1.0,0.0,0,0.001948189990281827,2,2,49,1,11.877551020408163,0.7719357013702393,49,143,143,0,0,25161,1.0,0,582,807
111,heavy,llm_real,test,13,13,1.0,0.0,0,0.0006792534722222223,2,1,48,2,10.708333333333334,0.7644197940826416,48,195,195,0,0,24664,1.0,0,514,799
112,heavy,llm_real,test,17,17,1.0,0.0,0,0.0008495862884160756,2,1,47,2,10.829787234042554,0.7568583488464355,47,194,194,0,0,24155,1.0,0,509,791
113,heavy,llm_real,test,10,10,1.0,0.0,0,0.00013888888888888886,1,0,35,1,11.342857142857143,0.5241172313690186,35,75,75,0,0,17952,1.0,0,397,558
114,heavy,llm_real,test,13,13,1.0,0.0,0,2.3483628556092322e-05,2,0,46,0,11.565217391304348,0.7157676219940186,46,127,127,0,0,23625,1.0,0,532,750
115,heavy,llm_real,test,14,14,1.0,0.0,0,0.0026334697499470227,5,3,44,4,11.136363636363637,0.7001221179962158,44,148,148,0,0,22604,1.0,0,490,735
116,heavy,llm_real,test,19,19,1.0,0.0,0,0.0018198631124767483,3,2,44,4,10.795454545454545,0.6832239627838135,44,151,151,0,0,22618,1.0,0,475,723
117,heavy,llm_real,test,13,13,1.0,0.0,0,0.004014099326599327,1,3,44,3,11.659090909090908,5.870110034942627,44,5288,5288,0,0,22610,0.9545454545454546,0,513,5909
118,heavy,llm_real,test,20,20,1.0,0.0,0,0.0012641421816953732,1,2,47,2,10.851063829787234,3.521418333053589,47,2950,2950,0,0,24117,0.9787234042553191,0,510,3555
119,heavy,llm_real,test,14,14,1.0,0.0,0,0.00018187830687830685,2,0,49,1,12.122448979591837,3.6377806663513184,49,2996,2996,0,0,25180,0.9795918367346939,0,594,3671
0,light,greedy,train,15,16,1.0,0.0,0,0.0008996212121212122,0,2,72,2,0.0,0.006020307540893555,0,0,0,0,0,0,0.0,0,0,6
1,light,greedy,train,11,12,1.0,0.0,0,0.0,0,0,72,0,0.0,0.0030105113983154297,0,0,0,0,0,0,0.0,0,0,3
1,light,mockllm,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,14.422222222222222,0.6915888786315918,45,0,0,0,0,0,0.0,0,649,692
1,light,nofreeze,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.488888888888889,0.7122137546539307,0,0,0,0,0,0,0.0,0,697,712
1,light,fixed_default,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.488888888888889,0.7132174968719482,0,0,0,0,0,0,0.0,0,697,713
1,light,fixed_tuned,train,12,12,1.0,0.0,0,7.201646090534978e-05,1,0,45,1,15.644444444444444,0.7162277698516846,0,0,0,0,0,0,0.0,0,704,716
2,light,greedy,train,9,10,1.0,0.0,0,0.0,0,0,72,1,0.0,0.003009796142578125,0,0,0,0,0,0,0.0,0,0,4
0,light,fixed_default,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.680851063829786,0.7493436336517334,0,0,0,0,0,0,0.0,0,737,749
0,light,fixed_tuned,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.76595744680851,0.7503476142883301,0,0,0,0,0,0,0.0,0,741,750
0,light,nofreeze,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.659574468085106,0.7493436336517334,0,0,0,0,0,0,0.0,0,736,750
0,light,mockllm,train,16,16,1.0,0.0,0,7.387706855791963e-05,1,0,47,1,15.085106382978724,0.7493431568145752,47,0,0,0,0,0,0.0,0,709,749
3,light,greedy,train,12,13,1.0,0.0,0,0.0019350405092592592,1,2,72,3,0.0,0.003011465072631836,0,0,0,0,0,0,0.0,0,0,4
3,light,fixed_default,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,15.044444444444444,0.687382698059082,0,0,0,0,0,0,0.0,0,677,688
3,light,fixed_tuned,train,13,13,1.0,0.0,0,0.00028806584362139914,4,0,45,3,15.444444444444445,0.7044417858123779,0,0,0,0,0,0,0.0,0,695,704
3,light,nofreeze,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,15.4,0.7049791812896729,0,0,0,0,0,0,0.0,0,693,704
3,light,mockllm,train,13,13,1.0,0.0,0,0.002330246913580247,3,1,45,3,14.733333333333333,0.6989576816558838,45,0,0,0,0,0,0.0,0,663,698
4,light,greedy,train,11,13,1.0,0.0,0,0.0,0,0,72,1,0.0,0.004014015197753906,0,0,0,0,0,0,0.0,0,0,4
2,light,fixed_tuned,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,15.326530612244898,0.7646856307983398,0,0,0,0,0,0,0.0,0,751,765
2,light,fixed_default,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,15.346938775510203,0.7681982517242432,0,0,0,0,0,0,0.0,0,752,768
2,light,nofreeze,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,15.326530612244898,0.7681982517242432,0,0,0,0,0,0,0.0,0,751,768
2,light,mockllm,train,10,10,1.0,0.0,0,2.4801587301587298e-05,1,0,49,1,14.714285714285714,0.7641842365264893,49,0,0,0,0,0,0.0,0,721,765
5,light,greedy,train,18,19,1.0,0.0,0,0.0005952380952380953,0,1,72,0,0.0,0.00501704216003418,0,0,0,0,0,0,0.0,0,0,6
4,light,fixed_tuned,train,13,13,1.0,0.0,0,0.0010177277432712217,2,1,46,2,14.847826086956522,0.6949265003204346,0,0,0,0,0,0,0.0,0,683,694
4,light,fixed_default,train,13,13,1.0,0.0,0,0.0018739216701173225,1,2,46,2,15.065217391304348,0.7109827995300293,0,0,0,0,0,0,0.0,0,693,710
5,light,fixed_tuned,train,19,19,1.0,0.0,0,2.7006172839506168e-05,2,0,45,0,15.088888888888889,0.6953945159912109,0,0,0,0,0,0,0.0,0,679,695
